categoria,nombre,uid,precio,tamanio
6,13,Pepperoni,0,Tamanio_unico
6,13,Sausage,0,Tamanio_unico
6,13,Mushrooms,0,Tamanio_unico
6,13,Onions,0,Tamanio_unico
6,13,Ham,0,Tamanio_unico
6,13,Canadian Bacon,0,Tamanio_unico
6,13,Pineapple,0,Tamanio_unico
6,13,Eggplant,0,Tamanio_unico
6,13,Tomato & Basil,0,Tamanio_unico
6,13,Green Peppers,0,Tamanio_unico
6,13,Hamburger,0,Tamanio_unico
6,13,Spinach,0,Tamanio_unico
6,13,Artichoke,0,Tamanio_unico
6,13,Buffalo Chicken,0,Tamanio_unico
6,13,Barbecue Chicken,0,Tamanio_unico
6,13,Anchovies,0,Tamanio_unico
6,13,Black Olives,0,Tamanio_unico
6,13,Fresh Garlic,0,Tamanio_unico
6,13,Zucchini,0,Tamanio_unico
